# Baseline Results (Up to date)
# 597 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
22.964,534.581,534.581,-5.977,6.365,6.34e-4,0.147,-1.101,0.007,1.101,270.375,2.188,0.147,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.278,90,11.525,950.745,0.001,338.283,0.018,4.823e5,6.604,34.253,0.305,0.046,8.291e-4
23.269,532.756,532.756,-5.977,6.38,0.025,0.691,-1.775,0.007,1.775,270.231,2.233,0.691,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.223,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.812,90,11.537,950.949,0.001,338.29,0.018,4.835e5,6.604,34.253,0.305,0.046,8.316e-4
23.574,530.933,530.933,-5.969,6.302,-0.007,0.553,-2.424,0.007,2.424,270.169,2.022,0.553,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.197,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.685,90,11.549,951.152,0.001,338.298,0.018,4.825e5,6.604,34.253,0.306,0.046,8.191e-4
23.88,529.109,529.109,-5.971,6.252,-0.013,0.107,-3.016,0.007,3.016,270.135,1.853,0.106,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.184,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.788,90,11.561,951.356,0.001,338.305,0.018,4.82e5,6.604,34.253,0.305,0.046,8.109e-4
24.185,527.285,527.285,-5.975,6.246,0.029,0.739,-3.577,0.007,3.577,270.113,1.82,0.738,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.227,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.27,90,11.573,951.56,0.001,338.312,0.018,4.837e5,6.604,34.253,0.305,0.046,8.098e-4
24.49,525.463,525.463,-5.966,6.307,0.019,0.94,-4.167,0.007,4.167,270.097,2.045,0.94,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.232,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.617,90,11.584,951.763,0.001,338.319,0.018,4.839e5,6.604,34.253,0.306,0.046,8.201e-4
24.796,523.641,523.641,-5.961,6.401,-0.035,0.396,-4.836,0.007,4.836,270.083,2.333,0.395,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.175,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.574,90,11.596,951.967,0.001,338.326,0.018,4.817e5,6.604,34.253,0.306,0.046,8.356e-4
25.102,521.817,521.817,-5.971,6.456,-0.006,0.01,-5.567,0.007,5.567,270.072,2.453,0.008,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.188,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.449,90,11.608,952.171,0.001,338.333,0.018,4.823e5,6.604,34.253,0.305,0.046,8.441e-4
25.407,519.995,519.995,-5.973,6.456,0.003,0.141,-6.316,0.007,6.316,270.063,2.451,0.141,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.194,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.537,90,11.62,952.374,0.001,338.341,0.018,4.825e5,6.604,34.253,0.305,0.046,8.442e-4
25.712,518.173,518.173,-5.972,6.472,0.011,0.451,-7.07,0.007,7.07,270.056,2.494,0.451,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.205,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.22,90,11.632,952.578,0.001,338.348,0.018,4.83e5,6.604,34.253,0.305,0.047,8.468e-4
26.017,516.352,516.352,-5.969,6.417,0.003,0.471,-7.809,0.007,7.809,270.051,2.356,0.471,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.2,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.07,90,11.644,952.781,0.001,338.355,0.018,4.828e5,6.604,34.253,0.305,0.047,8.379e-4
26.322,514.531,514.531,-5.968,6.365,-0.01,0.042,-8.506,0.007,8.506,270.046,2.213,0.041,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.186,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.238,90,11.656,952.985,0.001,338.362,0.018,4.823e5,6.604,34.253,0.305,0.047,8.295e-4
26.627,512.709,512.709,-5.971,6.372,0.011,0.421,-9.183,0.007,9.183,270.043,2.225,0.421,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.204,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.969,90,11.667,953.188,0.001,338.369,0.018,4.83e5,6.604,34.253,0.305,0.047,8.305e-4
26.932,510.889,510.889,-5.968,6.326,-0.007,0.101,-9.842,0.007,9.842,270.04,2.097,0.101,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.188,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.036,90,11.679,953.392,0.001,338.377,0.018,4.824e5,6.604,34.253,0.305,0.047,8.23e-4
27.237,509.068,509.068,-5.97,6.317,0.004,0.224,-10.477,0.007,10.477,270.037,2.066,0.224,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.196,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.93,90,11.691,953.595,0.001,338.384,0.018,4.828e5,6.604,34.253,0.305,0.047,8.216e-4
27.542,507.248,507.248,-5.969,6.294,0.001,0.194,-11.096,0.007,11.096,270.035,1.998,0.194,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.194,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.88,90,11.703,953.799,0.001,338.391,0.018,4.827e5,6.604,34.253,0.305,0.047,8.179e-4
27.847,505.429,505.429,-5.969,6.276,-1.665e-5,0.065,-11.696,0.007,11.696,270.033,1.939,0.065,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.192,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.899,90,11.715,954.002,0.001,338.398,0.018,4.827e5,6.604,34.253,0.5,0.047,8.148e-4
28.347,502.444,502.444,-5.969,6.266,0.003,0.04,-12.658,0.007,12.658,270.03,1.906,0.04,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.882,90,11.734,954.335,0.001,338.41,0.018,4.828e5,6.604,34.253,0.305,0.047,8.132e-4
28.651,500.626,500.626,-5.968,6.261,0.002,0.029,-13.237,0.007,13.237,270.029,1.894,0.029,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.877,90,11.746,954.538,0.001,338.417,0.018,4.828e5,6.604,34.253,0.305,0.047,8.125e-4
28.956,498.807,498.807,-5.967,6.258,0.004,0.204,-13.812,0.007,13.812,270.028,1.885,0.204,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.195,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.761,90,11.758,954.748,0.001,338.424,0.018,4.829e5,6.604,34.253,0.305,0.047,8.12e-4
29.261,496.989,496.989,-5.966,6.238,1.588e-4,0.1,-14.377,0.007,14.377,270.026,1.823,0.1,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.192,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.763,90,11.77,954.962,0.001,338.431,0.018,4.828e5,6.604,34.253,0.305,0.047,8.088e-4
29.566,495.171,495.171,-5.966,6.23,0.002,0.081,-14.928,0.007,14.928,270.025,1.793,0.081,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.744,90,11.781,955.175,0.001,338.438,0.018,4.829e5,6.604,34.253,0.305,0.047,8.074e-4
29.87,493.354,493.354,-5.966,6.222,0.008,0.359,-15.47,0.007,15.47,270.024,1.768,0.359,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.201,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.987,90,11.793,955.388,0.001,338.446,0.018,4.832e5,6.604,34.253,0.305,0.047,8.062e-4
30.175,491.537,491.537,-5.963,6.252,-0.005,0.074,-16.026,0.007,16.026,270.023,1.877,0.074,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.189,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.832,90,11.805,955.601,0.001,338.453,0.018,4.828e5,6.604,34.253,0.305,0.047,8.111e-4
30.48,489.72,489.72,-5.965,6.246,0.003,0.181,-16.594,0.007,16.594,270.023,1.855,0.181,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.195,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.965,90,11.817,955.814,0.001,338.46,0.018,4.83e5,6.604,34.253,0.305,0.047,8.102e-4
30.784,487.903,487.903,-5.964,6.262,0.002,0.182,-17.167,0.007,17.167,270.022,1.91,0.182,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.194,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.021,90,11.829,956.027,0.001,338.467,0.018,4.83e5,6.604,34.253,0.305,0.047,8.127e-4
31.089,486.087,486.087,-5.963,6.279,0.001,0.167,-17.757,0.006,17.757,270.021,1.965,0.167,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.194,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.864,90,11.84,956.24,0.001,338.474,0.018,4.83e5,6.604,34.253,0.305,0.047,8.155e-4
31.393,484.271,484.271,-5.963,6.262,4.871e-4,0.052,-18.348,0.006,18.348,270.02,1.914,0.052,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.192,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.883,90,11.852,956.453,0.001,338.481,0.018,4.83e5,6.604,34.253,0.305,0.047,8.129e-4
31.698,482.456,482.456,-5.962,6.257,0.002,0.025,-18.929,0.006,18.929,270.019,1.898,0.025,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.884,90,11.864,956.666,0.001,338.489,0.018,4.83e5,6.604,34.253,0.304,0.047,8.121e-4
32.002,480.64,480.64,-5.962,6.255,0.002,0.064,-19.505,0.006,19.505,270.019,1.891,0.064,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.853,90,11.876,956.879,0.001,338.496,0.018,4.831e5,6.604,34.253,0.304,0.047,8.116e-4
32.307,478.825,478.825,-5.961,6.248,0.005,0.269,-20.078,0.006,20.078,270.018,1.871,0.269,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.197,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.035,90,11.888,957.092,0.001,338.503,0.018,4.833e5,6.604,34.253,0.304,0.047,8.106e-4
32.611,477.011,477.011,-5.96,6.272,-0.001,0.125,-20.66,0.006,20.66,270.018,1.953,0.125,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.192,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.877,90,11.899,957.305,0.001,338.51,0.018,4.831e5,6.604,34.253,0.304,0.048,8.145e-4
32.915,475.197,475.197,-5.96,6.26,0.001,0.069,-21.249,0.006,21.249,270.017,1.915,0.069,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.958,90,11.911,957.517,0.001,338.517,0.018,4.832e5,6.604,34.253,0.304,0.048,8.126e-4
33.22,473.383,473.383,-5.96,6.266,0.004,0.236,-21.835,0.006,21.835,270.017,1.936,0.236,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.196,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.08,90,11.923,957.73,0.001,338.524,0.018,4.833e5,6.604,34.253,0.304,0.048,8.136e-4
33.524,471.569,471.569,-5.958,6.288,0.009,0.446,-22.435,0.006,22.435,270.016,2.008,0.446,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.204,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.28,90,11.935,957.943,0.001,338.531,0.018,4.836e5,6.604,34.253,0.304,0.048,8.172e-4
33.828,469.756,469.756,-5.956,6.33,-0.007,0.147,-23.067,0.006,23.067,270.016,2.144,0.147,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.188,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.234,90,11.947,958.155,0.001,338.539,0.018,4.83e5,6.604,34.253,0.304,0.048,8.241e-4
34.133,467.943,467.943,-5.958,6.347,0.02,0.621,-23.726,0.006,23.726,270.015,2.188,0.62,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.217,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.812,90,11.958,958.368,0.001,338.546,0.018,4.842e5,6.604,34.253,0.304,0.048,8.269e-4
34.437,466.131,466.131,-5.952,6.279,-0.008,0.432,-24.364,0.006,24.364,270.015,2,0.432,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.737,90,11.97,958.581,0.001,338.553,0.018,4.833e5,6.604,34.253,0.305,0.048,8.159e-4
34.742,464.319,464.319,-5.954,6.24,0.003,0.452,-24.952,0.006,24.952,270.014,1.868,0.452,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.2,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.144,90,11.982,958.793,0.001,338.56,0.018,4.836e5,6.604,34.253,0.304,0.048,8.096e-4
35.046,462.507,462.507,-5.953,6.282,-0.001,0.383,-25.542,0.006,25.542,270.014,2.006,0.383,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.196,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.239,90,11.994,959.006,0.001,338.567,0.018,4.835e5,6.604,34.253,0.304,0.048,8.164e-4
35.35,460.695,460.695,-5.954,6.321,-0.006,0.01,-26.17,0.006,26.17,270.013,2.122,0.008,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.188,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.128,90,12.005,959.218,0.001,338.574,0.018,4.832e5,6.604,34.253,0.304,0.048,8.227e-4
35.654,458.883,458.883,-5.956,6.323,0.02,0.605,-26.816,0.006,26.816,270.013,2.125,0.604,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.216,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.758,90,12.017,959.431,0.001,338.581,0.018,4.843e5,6.604,34.253,0.304,0.048,8.231e-4
35.959,457.073,457.073,-5.949,6.258,-0.015,0.191,-27.434,0.006,27.434,270.013,1.941,0.19,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.184,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.057,90,12.029,959.643,0.001,338.588,0.018,4.831e5,6.604,34.253,0.304,0.048,8.126e-4
36.263,455.262,455.262,-5.954,6.28,0.003,0.255,-28.034,0.006,28.034,270.012,1.999,0.255,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.196,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.154,90,12.041,959.855,0.001,338.596,0.018,4.836e5,6.604,34.253,0.304,0.048,8.161e-4
36.567,453.452,453.452,-5.953,6.305,-0.002,0.009,-28.653,0.006,28.653,270.012,2.076,0.009,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.191,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.071,90,12.053,960.068,0.001,338.603,0.018,4.834e5,6.604,34.253,0.304,0.048,8.201e-4
36.871,451.642,451.642,-5.953,6.304,0.005,0.249,-29.284,0.006,29.284,270.012,2.074,0.249,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.197,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.225,90,12.064,960.28,0.001,338.61,0.018,4.837e5,6.604,34.253,0.304,0.048,8.2e-4
37.175,449.832,449.832,-5.952,6.328,-0.001,0.059,-29.926,0.006,29.926,270.011,2.149,0.059,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.191,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.114,90,12.076,960.492,0.001,338.617,0.018,4.835e5,6.604,34.253,0.304,0.048,8.24e-4
37.479,448.023,448.023,-5.952,6.322,0.006,0.303,-30.577,0.006,30.577,270.011,2.131,0.303,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.199,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.316,90,12.088,960.704,0.001,338.624,0.018,4.838e5,6.604,34.253,0.304,0.048,8.23e-4
37.783,446.214,446.214,-5.95,6.352,-0.001,0.181,-31.238,0.006,31.238,270.011,2.223,0.181,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.192,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.114,90,12.1,960.917,0.001,338.631,0.018,4.836e5,6.604,34.253,0.304,0.048,8.28e-4
38.087,444.405,444.405,-5.951,6.333,9.386e-4,0.129,-31.906,0.006,31.906,270.011,2.168,0.129,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.247,90,12.111,961.129,0.001,338.638,0.018,4.836e5,6.604,34.253,0.304,0.048,8.249e-4
38.391,442.597,442.597,-5.95,6.347,0.007,0.345,-32.571,0.006,32.571,270.01,2.207,0.345,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.2,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.998,90,12.123,961.341,0.001,338.646,0.018,4.839e5,6.604,34.253,0.304,0.048,8.271e-4
38.695,440.789,440.789,-5.948,6.309,0.017,0.646,-33.226,0.006,33.226,270.01,2.102,0.646,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.216,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.711,90,12.135,961.553,0.001,338.653,0.018,4.846e5,6.604,34.253,0.304,0.048,8.21e-4
38.999,438.982,438.982,-5.943,6.241,-0.015,0.296,-33.835,0.006,33.835,270.01,1.906,0.296,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.185,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.727,90,12.147,961.765,0.001,338.66,0.018,4.834e5,6.604,34.253,0.304,0.048,8.101e-4
39.303,437.174,437.174,-5.948,6.219,0.003,0.344,-34.401,0.006,34.401,270.01,1.816,0.344,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.198,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.025,90,12.158,961.977,0.001,338.667,0.018,4.839e5,6.604,34.253,0.304,0.049,8.063e-4
39.607,435.367,435.367,-5.947,6.249,-0.004,0.119,-34.968,0.006,34.968,270.009,1.92,0.119,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.19,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.993,90,12.17,962.189,0.001,338.674,0.018,4.837e5,6.604,34.253,0.304,0.049,8.113e-4
39.91,433.56,433.56,-5.948,6.261,0.002,0.162,-35.557,0.006,35.557,270.009,1.957,0.162,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.194,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.055,90,12.182,962.401,0.001,338.681,0.018,4.838e5,6.604,34.253,0.304,0.049,8.132e-4
40.214,431.753,431.753,-5.947,6.276,0.006,0.346,-36.159,0.006,36.159,270.009,2.006,0.346,28.61,-80.6,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.2,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.796,90,12.194,962.613,0.001,338.688,0.018,4.841e5,6.604,34.253,0.304,0.049,8.157e-4
